"tam_yol","goreli_yol","dosya_adi","boyut_byte","boyut_okunabilir","son_degisim","uzanti","kategori","gerekli_mi"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\.claude\skills\markitdown\QUICK_REFERENCE.md",".claude\skills\markitdown\QUICK_REFERENCE.md","QUICK_REFERENCE.md","6823","6,66 KB","2026-03-24T10:14:42",".md","tekrar_edici_rapor","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\.claude\skills\webapp-testing\LICENSE.txt",".claude\skills\webapp-testing\LICENSE.txt","LICENSE.txt","11357","11,09 KB","2026-03-24T09:50:36",".txt","text_dump","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\.claude\skills\xlsx\LICENSE.txt",".claude\skills\xlsx\LICENSE.txt","LICENSE.txt","1467","1,43 KB","2026-03-24T09:51:54",".txt","text_dump","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\.docs\algorithm_integration_audit.md",".docs\algorithm_integration_audit.md","algorithm_integration_audit.md","7472","7,30 KB","2026-03-23T17:43:49",".md","one_cikan_dosya","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\.proposed_changes\27.03.2026\dev_discussion_package\code\tests\test_ga_split.py",".proposed_changes\27.03.2026\dev_discussion_package\code\tests\test_ga_split.py","test_ga_split.py","9687","9,46 KB","2026-03-26T22:48:50",".py","tek_kullanimli_script","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\.proposed_changes\27.03.2026\dev_discussion_package\code\tests\test_new_strategies.py",".proposed_changes\27.03.2026\dev_discussion_package\code\tests\test_new_strategies.py","test_new_strategies.py","9280","9,06 KB","2026-03-26T21:28:01",".py","tek_kullanimli_script","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\docs\konusma_gecmisi.txt","docs\konusma_gecmisi.txt","konusma_gecmisi.txt","7638","7,46 KB","2026-03-27T15:49:42",".txt","text_dump","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\docs\superpowers\specs\old\TSP_CVRP_Optimizasyon_Algoritmalari_Arastirma_Raporu.docx","docs\superpowers\specs\old\TSP_CVRP_Optimizasyon_Algoritmalari_Arastirma_Raporu.docx","TSP_CVRP_Optimizasyon_Algoritmalari_Arastirma_Raporu.docx","17840","17,42 KB","2026-03-19T02:42:43",".docx","akademik_taslak","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\docs\superpowers\specs\old\UniRide_Kapsamli_Analiz_Raporu.docx","docs\superpowers\specs\old\UniRide_Kapsamli_Analiz_Raporu.docx","UniRide_Kapsamli_Analiz_Raporu.docx","17209","16,81 KB","2026-03-19T01:11:37",".docx","akademik_taslak","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\docs\superpowers\specs\old\UniRide_Proje_Analiz_Raporu.docx","docs\superpowers\specs\old\UniRide_Proje_Analiz_Raporu.docx","UniRide_Proje_Analiz_Raporu.docx","17866","17,45 KB","2026-03-19T00:42:17",".docx","akademik_taslak","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\requirements.txt","optimizer_api\requirements.txt","requirements.txt","281","281 B","2026-03-19T01:42:36",".txt","text_dump","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\test_api.py","optimizer_api\test_api.py","test_api.py","821","821 B","2026-02-26T14:48:48",".py","tek_kullanimli_script","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\test_comparison.py","optimizer_api\test_comparison.py","test_comparison.py","4005","3,91 KB","2026-03-19T04:20:20",".py","tek_kullanimli_script","False"
